invoice_id,transaction_id,expert_type,expert_email,expert_opinion,created_at
2d8289ca-619b-4dbf-94e7-97426cf57295,80ac2a64-b11a-4344-a2e8-a3adb2eec23f,system,system@re-cap.com,approved,2025-01-11 12:00:00
b7766a9f-e263-44a6-ac76-bcc2ca2a99fc,4e520822-0492-45f1-849c-49f9578e308f,system,system@re-cap.com,approved,2025-01-13 09:00:00
e855b9b0-a747-4005-bfe5-357c422a1408,4e520822-0492-45f1-849c-49f9578e308f,system,system@re-cap.com,approved,2025-01-13 12:00:00
2628787c-e21e-42ef-8473-2a4d5c3ca32d,67e7da2e-cc5e-4231-8e29-d689eb5db3c5,system,system@re-cap.com,approved,2025-01-14 09:00:00
f8a62797-ba44-479b-881a-2497d1ac6057,67e7da2e-cc5e-4231-8e29-d689eb5db3c5,system,system@re-cap.com,approved,2025-01-14 09:00:00
2487c351-3cbe-425c-a64d-de0eff1a765f,67e7da2e-cc5e-4231-8e29-d689eb5db3c5,system,system@re-cap.com,approved,2025-01-14 11:00:00
67b70d0c-3e51-42bb-96d5-a667c37d33d9,67e7da2e-cc5e-4231-8e29-d689eb5db3c5,system,system@re-cap.com,approved,2025-01-14 13:00:00
966bd179-e411-4298-bd80-0c5d160ac84f,2e59cc34-6fbc-413d-b49a-6fb65eb9f898,system,system@re-cap.com,approved,2025-01-16 12:00:00
2d8289ca-619b-4dbf-94e7-97426cf57295,80ac2a64-b11a-4344-a2e8-a3adb2eec23f,user,william@algorhythm.com,rejected,2025-01-16 17:00:00
e948f070-1821-4ae9-9b03-cfdef117b012,19c42a2b-0062-4174-a5f5-135ed54b93de,system,system@re-cap.com,approved,2025-01-17 08:00:00
930f29d3-76fa-4ab5-8a8d-80e9bc3d6f87,19c42a2b-0062-4174-a5f5-135ed54b93de,system,system@re-cap.com,approved,2025-01-17 10:00:00
f5a2c53d-cec0-4e56-8f53-3f7fdd4d1e08,a51966e1-b821-429c-8f6b-995a806405ea,user,nicole@vectorvelocity.com,approved,2025-01-17 11:00:00
f8a62797-ba44-479b-881a-2497d1ac6057,67e7da2e-cc5e-4231-8e29-d689eb5db3c5,user,lisa@cloudstream.com,rejected,2025-01-17 15:00:00
e38ad2fb-703d-49d9-8950-f75b3307c683,19c42a2b-0062-4174-a5f5-135ed54b93de,system,system@re-cap.com,approved,2025-01-17 16:00:00
a197d3bd-08c2-4c8f-a8a8-2be07dbd6802,5df89276-adbf-4e8c-813d-03a594c0eb40,system,system@re-cap.com,approved,2025-01-18 08:00:00
91fe9745-3aaa-4a55-8f73-3e09fdfca1d8,5df89276-adbf-4e8c-813d-03a594c0eb40,system,system@re-cap.com,approved,2025-01-18 10:00:00
83f92bfd-dc1d-46c3-b32a-5202e226a9c3,5df89276-adbf-4e8c-813d-03a594c0eb40,system,system@re-cap.com,approved,2025-01-18 13:00:00
9fd81d88-c992-47b4-8a32-79b62730f586,0084857e-28e2-47f9-ad01-abb8f6f357bb,system,system@re-cap.com,approved,2025-01-19 09:00:00
a221078a-4bbf-4797-af6f-f23a4c9843a4,0084857e-28e2-47f9-ad01-abb8f6f357bb,system,system@re-cap.com,approved,2025-01-19 10:00:00
0cfb9c6c-44d7-4f15-ab14-3650cf22dcb4,0084857e-28e2-47f9-ad01-abb8f6f357bb,system,system@re-cap.com,approved,2025-01-19 11:00:00
ad41898c-226c-419f-a13c-124d928e5dcb,0084857e-28e2-47f9-ad01-abb8f6f357bb,system,system@re-cap.com,approved,2025-01-19 12:00:00
2487c351-3cbe-425c-a64d-de0eff1a765f,67e7da2e-cc5e-4231-8e29-d689eb5db3c5,user,nicole@cloudstream.com,rejected,2025-01-19 13:00:00
